key,name,ramo,unidad,state,lat,lng,advance,monto_total_inversion,classification,ciclo,ejercido
11096440001,El Herrero - La Luz,9,Centro SCT San Luis Potosí,24,23.573808,-100.672997,89.29,30832516,Comunicaciones y Transportes,2017,5286645
12096280006,"E.C. Km. 56 (Janos  Agua Prieta)  El Berrendo - Lim. Internacional Antellope Well, N.M.",9,Centro SCT Chihuahua,8,31.242136,-108.57746,71.44,61989798,Comunicaciones y Transportes,2016,28341471
11096360024,Libramiento Peribán.,9,Centro SCT Michoacán,16,19.520784,-102.410685,0,9174491,Comunicaciones y Transportes,2016,0
11096480008,Santa Ana de Nahola-Montevideo,9,Centro SCT Tamaulipas,28,23.006908,-99.863144,88.11,164555189,Comunicaciones y Transportes,2016,27772572
11096390013,Libramiento Dr. Arroyo,9,Centro SCT Nuevo León,19,23.69905,-100.242608,16.75,68747568,Comunicaciones y Transportes,2016,2849520
1009A000001,Laboratorio de Durabilidad de Estructuras de Concreto. LabDurEs-IMT,9,Instituto Mexicano del Transporte,22,20.504761,-100.214988,60.2,92877093,Desarrollo económico,2016,0
11092110011,PROGRAMA CONTRATOS PLURIANUALES DE CONSERVACION DE CARRETERAS EN EL ESTADO DE SONORA.,9,Dirección General de Conservación de Carreteras,35,0,0,16.84,3832904690,Comunicaciones y Transportes,2017,19154863
11096230002,Carretera La Purisima-San Ignacio.,9,Centro SCT Baja California Sur,3,25.5036,-111.8914,11.53,2567950822,Comunicaciones y Transportes,2017,93565632
11096240002,"Cd. del Carmen-Campeche, Tramo: Champotón-Villa Madero",9,Centro SCT Campeche,4,19.3646,-90.7207,35.5,560086299,Comunicaciones y Transportes,2017,155164116
1210K8V0002,Adecuaciones Diversas a los inmuebles del IMPI en el Distrito Federal para mejorar su funcionalidad,10,Instituto Mexicano de la Propiedad Industrial,9,0,0,33.74,25912243,Desarrollo económico,2016,0
12096400005,San Pedro Yólox - San Juan Quiotepec.,9,Centro SCT Oaxaca,20,17.6006,-96.5892,28.77,107510362,Comunicaciones y Transportes,2017,3834734
12096350033,Viaducto conexión interlomas-Nueva. Aut. Naucalpan-Toluca,9,Centro SCT México,15,19.4065,-99.2763,61.01,2041400508,Comunicaciones y Transportes,2017,147976060
12096460001,Tesía - Camoa,9,Centro SCT Sonora,26,27.164739,-109.368003,88.06,88357601,Comunicaciones y Transportes,2016,0
12096470009,"VILLAHERMOSA - TEAPA, Tr. Villahermosa-Teapa Distribuidor Guayabal km 2+500",9,Centro SCT Tabasco,27,17.969042,-92.926449,0,419907742,Comunicaciones y Transportes,2017,2028234
1209J2Z0001,"Expansión del Puerto de Guaymas, Sonora Fase I",9,"Administración Portuaria Integral de Guaymas, S.A. de C.V.",26,27.928796,-110.888796,10.25,2479841388,Comunicaciones y Transportes,2017,0
12096500008,Perote - Rancho Nuevo.- El escobillo,9,Centro SCT Veracruz,30,19.542909,-97.237094,77.05,36401837,Comunicaciones y Transportes,2016,0
1116B000281,"Programa de Estudios básicos, Proyectos y Diseños Ejecutivos de Presas de almacenamiento y Derivadoras, 2012.",16,Comisión Nacional del Agua,35,0,0,70.46,77436534,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",2015,0
1216B000036,"Atender la emergencia en 4 municipios del estado de Baja California Sur, por la ocurrencia de sequía severa y atípica.",16,Comisión Nacional del Agua,3,22.8897,-109.9155,96.94,947292142,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",2017,4068798
1216B000085,Acueducto del Proyecto Integral de Abastecimiento de Agua Potable Paso Ancho-Ciudad de Oaxaca y Zona Conurbada.,16,Comisión Nacional del Agua,20,16.41268114,-96.87426595,0,4506620001,Desarrollo Social,2017,0
11132160007,"Construcción de un Hospital General Naval de Segundo Nivel, en el Distrito Federal.",13,Dirección General de Servicios,9,19.35,-99.161667,64.07,2290962669,Seguridad,2017,595463106
1218T0K0003,Programa anual adquisición equipo de investigación,18,Instituto Nacional de Electricidad y Energías Limpias,17,0,0,71.56,62405749,Desarrollo económico,2017,0
11096300014,Tepehuanes  El Tarahumar,9,Centro SCT Durango,10,25.321136,-105.948613,14.24,170150228,Comunicaciones y Transportes,2017,0
11096240006,San Manuel Nuevo Canutillo - E.C. (Nueva Coahuila-El Desengaño),9,Centro SCT Campeche,4,18.1182,-90.6621,54.1,138514469,Comunicaciones y Transportes,2017,27311403
9096500029,Circuito Manzanillo - Mirador - Progreso - Manzanillo,9,Centro SCT Veracruz,30,18.950363,-96.832355,68.85,86708230,Comunicaciones y Transportes,2016,6606012
1307HXA0017,"Construcción de la U.H.M. Valladolid III,  Yuc.",7,Instituto de Seguridad Social para las Fuerzas Armadas Mexicanas,31,20.681634,-88.181044,0,56313792,Desarrollo Social,2016,0
5096390010,El Goche - Emilio Carranza,9,Centro SCT Nuevo León,19,25.034756,-100.113817,94.29,86747973,Comunicaciones y Transportes,2016,0
7096330011,E.C. Km. 12+000 (Molango - Xochicoatlan )- Zapocoatlan - Texcaco,9,Centro SCT Hidalgo,13,20.786675,-98.708416,48.36,105160864,Comunicaciones y Transportes,2016,10965299
13096490001,Ciudad Industrial Xicoténcatl I -Nicolás Bravo  Ciudad Industrial Xicoténcatl II - Huamantla,9,Centro SCT Tlaxcala,29,19.4881,-98.0615,88.3,651428908,Comunicaciones y Transportes,2015,43175424
13096300006,Santo Domingo - Piedra Rajada.,9,Centro SCT Durango,10,24.055372,-105.458114,11.88,233790096,Comunicaciones y Transportes,2017,13843412
13096300010,Modernización del Segundo Periférico Gómez Palacio - Torreón,9,Centro SCT Durango,10,25.6298,-103.4737,42,1255171400,Comunicaciones y Transportes,2017,122331384
13096310021,Vía Rápida Bicentenario en León,9,Centro SCT Guanajuato,11,21.1414,-101.6327,31.38,3605539522,Comunicaciones y Transportes,2017,156779451
13096390004,Anáhuac - Ejido Rodríguez - Ejido Ranas.,9,Centro SCT Nuevo León,19,27.221686,-100.141031,2.7,276740168,Comunicaciones y Transportes,2017,0
13096330007,Reconstrucción del Blvd Ramón G Bonfil.,9,Centro SCT Hidalgo,13,20.073188,-98.79265,2.47,45041848,Comunicaciones y Transportes,2016,11322164
13096440018,Construcción del Libramiento Venado.,9,Centro SCT San Luis Potosí,24,22.926514,-101.111592,0,19925292,Comunicaciones y Transportes,2016,0
12096330005,Huichapan  Tlaxcalilla. Primera Etapa,9,Centro SCT Hidalgo,13,20.355507,-99.685484,95.86,5848276,Comunicaciones y Transportes,2016,5920376
1209J3B0006,Reconfiguración de Módulos de Aduana y Ampliación de la Ruta Fiscal.,9,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",6,19.0563,-104.2929,88.2,309534912,Comunicaciones y Transportes,2014,7275399
12096320012,Mazatlán - El Salado y Ramal a Lagunilla.,9,Centro SCT Guerrero,12,17.431931,-99.463344,67.81,44090244,Comunicaciones y Transportes,2016,12308634
1116B000284,"Construcción del Proyecto de Temporal Tecnificado Jesús Diego, Chiapas.",16,Comisión Nacional del Agua,7,15.58,-93.2,69.01,243733129,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",2015,1209572
1216B000211,"Programa de estudios básicos, proyectos y diseños ejecutivos de presas de almacenamiento y derivadoras, 2013.",16,Comisión Nacional del Agua,35,0,0,15.85,20051374,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",2016,0
13165120002,Sustentabilidad e Integralidad Operativa de la SEMARNAT.,16,"Dirección General de Recursos Materiales, Inmuebles y Servicios",9,19.43,-99.17,10.5,2822199363,Medio Ambiente,2017,125180679
13132110008,Construcción de Buques Patrulla Costera,13,Dirección General de Construcciones Navales,34,0,0,20.37,3302501291,Seguridad,2017,268095462
13132160015,Adquisición de aeronaves versión Adiestramiento,13,Dirección General de Servicios,9,0,0,32,914806221,Seguridad,2016,0
13116000002,Construcción de tres planteles de educación media superior en el municipio de Tijuana.,11,Subsecretaría de Educación Media Superior,2,32.5184,-117.0381,39,419210565,Educación,2016,0
1210K2H0002,Programa de Obras Menores,10,Centro Nacional de Metrología,22,0,0,100,56579416,Desarrollo económico,2015,366543
1350GYR0003,"Construcción de Unidad de Medicina Familiar (UMF) nueva de 10 consultorios en el Municipio de Coatzacoalcos, Veracruz.",50,Instituto Mexicano del Seguro Social,30,18.142242,-94.497969,63,78949509,Salud,2015,3926680
14071170009,"CONSTRUCCION Y ADECUACION DE LAS INSTALACIONES DEL COLEGIO DEL AIRE Y DE LA B.A.M. No. 5, ZAPOPAN, JAL.",7,Dirección General de Ingenieros,14,0,0,100,2062999999,Seguridad,2016,544789476
14071170011,CONSTRUCCIÓN DE INSTALACIONES MILITARES,7,Dirección General de Ingenieros,35,0,0,95,2403706000,Seguridad,2017,551906396
14071320013,ADQUISICIÓN DE ACTIVOS PARA ACTIVIDADES SUSTANTIVAS DE ERRADICACIÓN POR ASPERSIÓN,7,Comandancia de la Fuerza Aérea Mexicana,35,0,0,100,1741550352,Seguridad,2017,74584324
13178120017,Adquisición de Terminales Móviles,17,Dirección General de Recursos Materiales y Servicios Generales,35,0,0,0,106597159,Seguridad,2017,0
1318TOQ0009,MODERNIZACIÓN RED DE VIDEOCONFERENCIA DEL CENACE 2013-2015,18,Centro Nacional de Control de Energía,35,0,0,14.73,107001752,Energía,2017,15740353
12096400017,EC (El Amate Colorado - Zaragoza) - El Limón Santa Ana,9,Centro SCT Oaxaca,20,16.812056,-97.892456,28,19787842,Comunicaciones y Transportes,2017,1870654
12096410043,Modernización de la carretera Chignahuapan - Zacatlán,9,Centro SCT Puebla,21,19.8568,-98.0216,19.09,137865628,Comunicaciones y Transportes,2017,11120290
12096270018,E.C. (Pichucalco - Teapa) - Ranchería El Azufre 1ra. Sección.,9,Centro SCT Chiapas,7,17.526456,-93.091492,0,10827742,Comunicaciones y Transportes,2016,0
12096310006,La Caja - El Conejo,9,Centro SCT Guanajuato,11,20.712592,-101.440064,100,15440957,Comunicaciones y Transportes,2016,173864
12096450020,Entronque Carr. México 15 - Ahome (Modernización),9,Centro SCT Sinaloa,25,25.8225,-108.9719,57.39,370295885,Comunicaciones y Transportes,2016,117624422
11093110020,"Paso Superior Vehicular en la Av. de las Industrias A-1614 + 398.91, en Chihuahua, Chihuahua.",9,Dirección General de Desarrollo Ferroviario y Multimodal,8,28.6652,-106.0804,0,83659077,Comunicaciones y Transportes,2016,0
7096260008,Libramiento de Cihuatlán,9,Centro SCT Colima,6,19.1961,-104.5547,20,500929273,Comunicaciones y Transportes,2017,0
7096450010,E.C. El Fuerte-Choix - Baymena.,9,Centro SCT Sinaloa,25,26.600334,-108.401907,67.9,80838655,Comunicaciones y Transportes,2016,0
14107110001,Reforzamiento de Torre Ejecutiva,10,Dirección General de Recursos Materiales y Servicios Generales,9,0,0,43.4,424495668,Desarrollo económico,2017,88355434
14096340008,"Guachinango - Cienega de los Ahumada - Amajaquillo, tramo: Llano Grande - crucero El Ranchito",9,Centro SCT Jalisco,14,20.779906,-104.524069,60,32345162,Comunicaciones y Transportes,2016,8638702
14096340009,Modernización de Camino Ameca - La Calera.,9,Centro SCT Jalisco,14,20.535094,-104.052619,100,13157682,Comunicaciones y Transportes,2016,0
14096440013,Chilares - La Maroma,9,Centro SCT San Luis Potosí,24,23.517159,-100.742594,37.17,206300000,Comunicaciones y Transportes,2017,12644500
1409J2Y0001,Construcción de infraestructura básica portuaria,9,"Administración Portuaria Integral de Altamira, S.A. de C.V.",28,22.431667,-97.874004,85.86,158142296,Comunicaciones y Transportes,2016,22335887
14096350013,Libramiento Poniente (San Juan De Las Huertas-Santa María Del Monte-Papelera.,9,Centro SCT México,15,19.297117,-99.765551,75.68,19198297,Comunicaciones y Transportes,2016,0
14096350033,CARRETERA DE TECUAUTITLAN (SAN LUIS) A LA CABECERA MUNICIPAL Y LA DE CUATRO CAMINOS.,9,Centro SCT México,15,19.842667,-98.865873,100,20644024,Comunicaciones y Transportes,2015,42960
14096360029,San Juanico - Chucandirán.,9,Centro SCT Michoacán,16,19.773699,-102.497181,100,16894501,Comunicaciones y Transportes,2017,21253
14096360031,Santa Cruz - E.C. (Puerta de Coenembo - Tzirandangatzio).,9,Centro SCT Michoacán,16,19.607014,-101.529118,37.67,16894123,Comunicaciones y Transportes,2016,3477449
14096360032,Libramiento Zinapecuaro.,9,Centro SCT Michoacán,16,19.882967,-100.80745,15.27,40828377,Comunicaciones y Transportes,2017,195739
14096320015,Modernización Del Camino Carrizal-Zapote.,9,Centro SCT Guerrero,12,16.963477,-100.142787,100,50171549,Comunicaciones y Transportes,2016,11519150
14096500040,Juan Rodríguez Clara - Santa Rosa.,9,Centro SCT Veracruz,30,17.988586,-95.409646,58.83,40956366,Comunicaciones y Transportes,2017,7699146
14096390001,Apodaca - Cd. Juárez,9,Centro SCT Nuevo León,19,25.736112,-100.153745,18.44,357172238,Comunicaciones y Transportes,2017,4344719
14096500046,"Construcción de pavimento Asfaltico del Camino E.C. Entabladero - Melchor Ocampo Tr. 0+000 del Municipio de Espinal, Veracruz",9,Centro SCT Veracruz,30,20.258539,-97.397751,19.16,73380157,Comunicaciones y Transportes,2017,445760
14096510002,Distribuidor Vial Tixkokob,9,Centro SCT Yucatán,31,20.9612,-89.5668,46.3,64361233,Comunicaciones y Transportes,2016,36138800
14096320029,Pavimentación Del Camino Zirándaro - Guayameo.,9,Centro SCT Guerrero,12,18.48896,-101.093767,6.42,231360807,Comunicaciones y Transportes,2017,0
14096520014,Capulin De Los Ruíz - Cienega De Room,9,Centro SCT Zacatecas,32,22.388189,-103.416369,100,27730873,Comunicaciones y Transportes,2017,498907
14096420005,Agua Zarca - La Peña.,9,Centro SCT Querétaro,22,21.218797,-99.084703,13.89,50000000,Comunicaciones y Transportes,2017,136569
14096520021,El Salitre - Gpe. Garzaron - Ciénega De Rocamontes - E.C. Zac. /Saltillo,9,Centro SCT Zacatecas,32,24.69431,-101.258207,25.71,212665933,Comunicaciones y Transportes,2017,5928151
14096440001,El Retiro-Salsipuedes,9,Centro SCT San Luis Potosí,24,22.6869,-100.962778,100,13054841,Comunicaciones y Transportes,2016,0
1409C000001,Modernización de Sistemas y Equipos para Control de Tránsito Aéreo,9,Servicios a la Navegación en el Espacio Aéreo Mexicano,35,0,0,37.87,484289250,Comunicaciones y Transportes,2017,48255217
14096270018,Chilon - Tzajala.,9,Centro SCT Chiapas,7,17.108682,-92.27837,1.84,144755155,Comunicaciones y Transportes,2017,0
13096330005,Ojo de Agua Santa Rosa - San Jerónimo,9,Centro SCT Hidalgo,13,20.174142,-98.844967,28.47,67445314,Comunicaciones y Transportes,2016,13728410
13096350005,Cerritos de Cárdenas - Calderas,9,Centro SCT México,15,19.970314,-100.018928,42.11,7992256,Comunicaciones y Transportes,2016,0
14096210013,El Novillo - Villa Juárez.,9,Centro SCT Aguascalientes,1,22.011289,-101.994007,91.15,82126047,Comunicaciones y Transportes,2017,44835747
13096520013,Modernización de la carretera Fresnillo-Jerez.,9,Centro SCT Zacatecas,32,23.1627,-102.8855,13.92,840272880,Comunicaciones y Transportes,2017,41658033
14212100013,ESTUDIOS DE PREFACTIBILIDAD DE RECUPERACION DE PLAYAS / 03 CANCÚN / CANCÚN NORTE,21,Dirección General de Desarrollo Regional y Fomento Turístico,23,0,0,42,19293165,Turismo,2017,0
1421W3N0006,Mantenimiento y Operación de los Centros Integralmente Planeados de la Península 2015,21,Fondo Nacional de Fomento al Turismo,3,0,0,100,47115046,Turismo,2015,340162
1421W3N0014,"Estudios de pre inversión para el proyecto Calakmul, en el Edo. de Campeche.",21,Fondo Nacional de Fomento al Turismo,4,0,0,0,19251625,Turismo,2017,0
1416B000076,"Rehabilitación y Modernización del Canal Principal Humaya del Distrito de Riego 010 Culiacán - Humaya, Sinaloa.",16,Comisión Nacional del Agua,25,0,0,100,120286955,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",2015,636865
14212100006,ESTUDIOS DE PREFACTIBILIDAD DE RECUPERACION DE PLAYAS / 11 PUERTO VALLARTA,21,Dirección General de Desarrollo Regional y Fomento Turístico,14,0,0,0,19282556,Turismo,2017,0
14212100007,ESTUDIOS DE PREFACTIBILIDAD DE RECUPERACION DE PLAYAS / 07 HOLBOX,21,Dirección General de Desarrollo Regional y Fomento Turístico,23,0,0,32,14976591,Turismo,2017,0
14212100010,ESTUDIOS DE PREFACTIBILIDAD DE RECUPERACION DE PLAYAS / 09 LOS CABOS,21,Dirección General de Desarrollo Regional y Fomento Turístico,3,0,0,2,23194484,Turismo,2017,0
1412N000001,ADQUISICIÓN DE EQUIPO MÉDICO Y DE LABORATORIO ASÍ COMO MOBILIARIO Y EQUIPO ADMINISTRATIVO DEL HOSPITAL PSIQUIÁTRICO DR. SAMUEL RAMÍREZ MORENO FASE ll 2016,12,Servicios de Atención Psiquiátrica,15,0,0,0,29127991,Salud,2015,0
14132160031,Adquisición de Sistemas de Armas y Armamento para Aeronaves,13,Dirección General de Servicios,9,0,0,41.24,245726357,Seguridad,2017,0
14132160036,Adquisición de activos para actividades de apoyo logístico,13,Dirección General de Servicios,9,0,0,100,781488655,Seguridad,2017,33307059
11096450015,Puente El Quelite  Mármol,9,Centro SCT Sinaloa,25,23.48275,-106.599936,27.5,54998056,Comunicaciones y Transportes,2017,7822550
12096360034,La Yerbabuena - Ojo de Agua de Bucío.,9,Centro SCT Michoacán,16,19.81861389,-100.7187028,100,1,Comunicaciones y Transportes,2016,0
8096500010,Camino: Chontla-Mata de Otates.,9,Centro SCT Veracruz,30,21.298144,-97.923471,61.96,58691054,Comunicaciones y Transportes,2016,0
1506HAT0002,Programa de Adquisición de bienes de apoyo administrativo,6,Fondo de Capitalización e Inversión del Sector Rural,9,0,0,57,915236,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",2016,26260
1506HBW0001,Infraestructura de Invernaderos de los Centros de Desarrollo Tecnológico,6,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",35,0,0,0.35,7603905,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",2016,382350
1506HBW0003,Infraestructura eléctrica a través de sistema solar para interconexión a red de CFE en el CDT Tezoyuca.,6,"Fondo de Garantía y Fomento para la Agricultura, Ganadería y Avicultura",17,18.94,99.22,0.28,5202600,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",2016,0
